Education,YearsExperience,JobTitle,Location,Salary
Bachelor,2,Data Analyst,Bangalore,450000
Master,5,Data Scientist,Hyderabad,850000
PhD,10,ML Engineer,Delhi,1500000
Bachelor,3,Software Engineer,Mumbai,600000
Master,7,Project Manager,Chennai,1100000
Bachelor,1,Support Engineer,Pune,400000
Master,4,AI Researcher,Bangalore,950000
PhD,8,Data Engineer,Hyderabad,1300000
Bachelor,6,System Analyst,Delhi,780000
Master,9,ML Engineer,Mumbai,1250000
PhD,12,AI Architect,Chennai,1800000
Bachelor,5,Backend Developer,Pune,700000
Master,6,Frontend Developer,Bangalore,750000
Bachelor,4,QA Engineer,Hyderabad,620000
PhD,11,Principal Scientist,Delhi,2000000
